age,gender,qx,source_year,source,notes
25,F,0.00025,2024,placeholder_replace_with_scb_or_hmd,Illustrative annual mortality probability
25,M,0.00035,2024,placeholder_replace_with_scb_or_hmd,Illustrative annual mortality probability
30,F,0.00030,2024,placeholder_replace_with_scb_or_hmd,Illustrative annual mortality probability
30,M,0.00045,2024,placeholder_replace_with_scb_or_hmd,Illustrative annual mortality probability
35,F,0.00040,2024,placeholder_replace_with_scb_or_hmd,Illustrative annual mortality probability
35,M,0.00060,2024,placeholder_replace_with_scb_or_hmd,Illustrative annual mortality probability
40,F,0.00060,2024,placeholder_replace_with_scb_or_hmd,Illustrative annual mortality probability
40,M,0.00090,2024,placeholder_replace_with_scb_or_hmd,Illustrative annual mortality probability
45,F,0.00090,2024,placeholder_replace_with_scb_or_hmd,Illustrative annual mortality probability
45,M,0.00130,2024,placeholder_replace_with_scb_or_hmd,Illustrative annual mortality probability
50,F,0.00140,2024,placeholder_replace_with_scb_or_hmd,Illustrative annual mortality probability
50,M,0.00200,2024,placeholder_replace_with_scb_or_hmd,Illustrative annual mortality probability
55,F,0.00220,2024,placeholder_replace_with_scb_or_hmd,Illustrative annual mortality probability
55,M,0.00310,2024,placeholder_replace_with_scb_or_hmd,Illustrative annual mortality probability
60,F,0.00360,2024,placeholder_replace_with_scb_or_hmd,Illustrative annual mortality probability
60,M,0.00500,2024,placeholder_replace_with_scb_or_hmd,Illustrative annual mortality probability
65,F,0.00600,2024,placeholder_replace_with_scb_or_hmd,Illustrative annual mortality probability
65,M,0.00800,2024,placeholder_replace_with_scb_or_hmd,Illustrative annual mortality probability
